corso matricola sesso provincia anno tipo diploma votomat base votolau lode
E64 533197 F PD 2000 N "*MATURITA'CLASSICA"  82 100  99 NL
E70 533208 M VE 2000 N "*MATURITA'TECNICACOMMERCIALE" 100 100 103 NL
E70 533210 M VE 2000 N "*MATURITA'TECNICACOMMERCIALE" 100 100 109 NL
E69 533212 M VE 2000 N "*PERITOINDUSTRIALE"  67 100  97 NL
E69 533219 M VE 2000 N "*MATURITA'SCIENTIFICA"  83 100 105 NL
E65 533227 F PN 2000 N "*MATURITA'SCIENTIFICA"  80 100 103 NL
E65 533259 M RO 2000 N "*MATURITA'TECNICACOMMERCIALE" 100 100 110 L
E70 533270 F VE 2000 N "*MATURITA'SCIENTIFICA" 100 100 110 L
E60 533296 F VE 2000 N "*MATURITA'SCIENTIFICA"  77 100 110 L
E69 533297 M VE 2000 N "*MATURITA'SCIENTIFICA"  88 100 110 L
E64 533299 F VE 2000 N "*MATURITA'SCIENTIFICA"  83 100  97 NL
E69 533309 F VE 2000 N "*MATURITA'SCIENTIFICA"  83 100 110 L
E69 533317 M VI 2000 N "*MATURITA'SCIENTIFICA" 100 100 110 L
E69 533318 M VI 2000 N "*MATURITA'SCIENTIFICA"  90 100 110 NL
E69 533320 F VE 2000 N "*MATURITA'SCIENTIFICA"  75 100 110 NL
E65 533327 M VE 2000 N "*MATURITA'TECNICACOMMERCIALE"  87 100 100 NL
E65 533346 M VE 2000 N "*MATURITA'TECNICACOMMERCIALE" 100 100 110 L
E65 533351 M VE 2000 N "*MATURITA'TECNICACOMMERCIALE" 100 100 110 L
E60 533357 M VE 2000 N "*MATURITA'TECNICACOMMERCIALE"  99 100 107 NL
E60 533358 M VE 2000 N "*MATURITA'TECNICACOMMERCIALE"  99 100 106 NL
E65 533440 F VE 2000 N "*MATURITA'SCIENTIFICA"  82 100 102 NL
E63 533445 M TV 2000 N "*MATURITA'SCIENTIFICA"  81 100 108 NL
E69 533447 F TV 2000 N "*MATURITA'SCIENTIFICA"  93 100 102 NL
E64 533448 M VE 2000 N "*MATURITA'TECNICACOMMERCIALE"  94 100 106 NL
E63 533453 M BL 2000 N "*MATURITA'CLASSICA" 100 100 110 L
E69 533454 F VE 2000 N "*MATURITA'SCIENTIFICA"  77 100 110 L
E69 533457 F VR 2000 N "*MATURITA'SCIENTIFICA"  98 100 107 NL
E60 533465 F VE 2000 N "*MATURITA'SCIENTIFICA"  93 100 110 L
E63 533468 M TV 2000 N "*MATURITA'CLASSICA" 100 100 110 L
E69 533483 F VE 2000 N "*MATURITA'TECNICAPERILTURISMO"  87 100 110 L
E60 533493 F VE 2000 N "*MATURITA'SCIENTIFICA" 100 100 110 L
E69 533504 M PD 2000 N "*MATURITA'TECNICACOMMERCIALE"  68 100  91 NL
E69 533516 F TV 2000 N "*MATURITA'CLASSICA"  73 100 104 NL
E64 533520 M VE 2000 N "*MATURITA'TECNICACOMMERCIALE"  98 100 103 NL
E70 533527 F VE 2000 N "*MATURITA'CLASSICA"  75 100  98 NL
E65 533535 M VE 2000 N "*MATURITA'TECNICACOMMERCIALE"  87 100 104 NL
E64 533538 M TV 2000 N "*MATURITA'SCIENTIFICA"  75 100 107 NL
E65 533543 M TV 2000 N "*MATURITA'TECNICACOMMERCIALE" 100 100 105 NL
E70 533551 F TV 2000 N "*MATURITA'TECNICACOMMERCIALE"  92 100 106 NL
E60 533570 F VE 2000 N "*MATURITA'TECNICACOMMERCIALE"  77 100  92 NL
E69 533572 F PN 2000 N "*MATURITA'SCIENTIFICA"  72 100 107 NL
E70 533574 F VE 2000 N "*MATURITA'CLASSICA"  91 100 101 NL
E69 533576 F PN 2000 N "*MATURITA'SCIENTIFICA"  92 100 110 NL
E69 533585 M TV 2000 N "*PERITOINDUSTRIALE" 100 100 110 L
E69 533601 F TV 2000 N "*LICENZALINGUISTICA"  99 100 104 NL
E69 533611 F PD 2000 N "*MATURITA'SCIENTIFICA"  94 100 108 NL
E65 533624 M PN 2000 N "*MATURITA'SCIENTIFICA"  81 100 100 NL
E69 533641 M VI 2000 N "*MATURITA'SCIENTIFICA"  74 100 110 L
E69 533645 F VE 2000 N "*MATURITA'SCIENTIFICA"  95 100 106 NL
E60 533656 F TV 2000 N "*MATURITA'TECNICACOMMERCIALE" 100 100 103 NL
E69 533659 F TV 2000 N "*PERITOINDUSTRIALE"  97 100 105 NL
E69 533664 F VE 2000 N "*MATURITA'SCIENTIFICA"  90 100 104 NL
E63 533677 F TV 2000 N "*MATURITA'CLASSICA"  90 100 110 L
E69 533682 F VE 2000 N "*PERITOAZIENDALE" 100 100 102 NL
E64 533711 M TV 2000 N "*MATURITA'TECNICAPERILTURISMO" 100 100  99 NL
E69 533725 F VE 2000 N "*MATURITA'CLASSICA" 100 100 110 L
E60 533750 F TV 2000 N "*MATURITA'SCIENTIFICA"  69 100 110 L
E65 533761 M VE 2000 N "*MATURITA'TECNICACOMMERCIALE"  50  60 102 NL
E67 533775 M PD 2000 N "*MATURITA'TECNICACOMMERCIALE" 100 100 110 L
E69 533776 M PD 2000 N "*MATURITA'TECNICACOMMERCIALE"  80 100 101 NL
E69 533777 M VE 2000 N "*MATURITA'SCIENTIFICA"  79 100 106 NL
E60 533786 F TV 2000 N "*MATURITA'TECNICACOMMERCIALE"  98 100 101 NL
E63 533812 M TV 2000 N "*MATURITA'TECNICACOMMERCIALE" 100 100 110 L
E69 533840 M TV 2000 N "*MATURITA'SCIENTIFICA"  85 100 102 NL
E60 533844 M TV 2000 N "*MATURITA'SCIENTIFICA"  93 100  99 NL
E65 533852 M VE 2000 N "*MATURITA'TECNICACOMMERCIALE"  77 100 103 NL
E65 533853 F TV 2000 N "*MATURITA'TECNICACOMMERCIALE"  92 100 103 NL
E69 533856 M VE 2000 N "*MATURITA'SCIENTIFICA"  74 100 110 NL
E65 533904 F BL 2000 N "*MATURITA'SCIENTIFICA"  72 100 109 NL
E65 533933 F VE 2000 N "*MATURITA'TECNICACOMMERCIALE"  97 100  99 NL
E69 533950 M TV 2000 T "*MATURITA'TECNICACOMMERCIALE"  72 100 102 NL
E69 533978 M PD 2000 N "*MATURITA'SCIENTIFICA"  90 100 107 NL
E70 533980 F PD 2000 N "*MATURITA'SCIENTIFICA"  87 100 107 NL
E64 533984 M VE 2000 N "*MATURITA'TECNICACOMMERCIALE"  83 100  97 NL
E65 533993 F VE 2000 R "TITOLODISTUDIOSTRANIERO"  53  60  88 NL
E67 534024 M VE 2000 N "*MATURITA'SCIENTIFICA"  92 100 110 L
E63 534025 M VE 2000 N "*MATURITA'SCIENTIFICA"  80 100  99 NL
E63 534027 M VE 2000 N "*MATURITA'SCIENTIFICA"  81 100 110 L
E65 534036 F VE 2000 N "*MATURITA'SCIENTIFICA" 100 100 110 L
E65 534063 M PD 2000 N "*MATURITA'SCIENTIFICA"  66 100 106 NL
E60 534066 M TV 2000 N "*MATURITA'TECNICACOMMERCIALE"  80 100  92 NL
E60 534136 F VE 2000 N "*MATURITA'SCIENTIFICA"  98 100 110 L
E63 534143 F VE 2000 N "*MATURITA'SCIENTIFICA"  81 100 100 NL
E63 534144 F VE 2000 N "*MATURITA'CLASSICA"  95 100  98 NL
E69 534197 F PD 2000 N "*MATURITA'SCIENTIFICA"  64 100  98 NL
E70 534202 M GO 2000 N "*MATURITA'SCIENTIFICA" 100 100 110 L
E63 534203 F UD 2000 N "*MATURITA'SCIENTIFICA" 100 100 110 L
E64 534210 F RO 2000 N "*MATURITA'SCIENTIFICA"  93 100 101 NL
E60 534226 F VE 2000 N "*MATURITA'SCIENTIFICA"  84 100  99 NL
E64 534254 M VE 2000 T "*MATURITA'SCIENTIFICA"  83 100 109 NL
E66 534257 M TV 2000 N "*LICENZALINGUISTICA"  92 100 110 L
E66 534258 F VE 2000 N "MATURITA'PROFESS.DITECNICODEISERVIZITURISTICI" 100 100 110 L
E66 534262 F PD 2000 N "*PERITOAZIENDALE"  77 100 107 NL
E61 534263 F TV 2000 N "*MATURITA'TECNICACOMMERCIALE"  84 100  98 NL
